총곗수,시간,체결가,대비,추정NAV,기초지수,거래량(주),순간거래량(주)
45937,"15:57:09","34,795","-205","34,872.21","348.30","9,202,262","1"
45937,"15:56:44","34,795","-205","34,872.21","348.30","9,202,261","50"
45937,"15:55:45","34,795","-205","34,872.21","348.30","9,202,211","1"
45937,"15:54:56","34,795","-205","34,872.21","348.30","9,202,210","1"
45937,"15:54:50","34,795","-205","34,872.21","348.30","9,202,209","10"
45937,"15:54:07","34,795","-205","34,872.21","348.30","9,202,199","1"
45937,"15:51:41","34,795","-205","34,872.21","348.30","9,202,198","384"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,201,814","2"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,201,812","10"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,201,802","15"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,201,787","3"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,201,784","10"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,201,774","300"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,201,474","287"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,201,187","200"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,987","100"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,887","12"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,875","1"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,874","1"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,873","2"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,871","50"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,821","100"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,721","50"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,671","1"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,670","1"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,669","25"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,644","1"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,643","10"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,633","2"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,631","20"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,611","12"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,599","1"
45937,"15:51:16","34,795","-205","34,872.21","348.30","9,200,598","386"
45937,"15:51:03","34,795","-205","34,872.21","348.30","9,200,212","86"
45937,"15:45:49","34,795","-205","34,872.21","348.30","9,200,126","9"
45937,"15:45:28","34,795","-205","34,872.21","348.30","9,200,117","162"
45937,"15:44:26","34,795","-205","34,872.21","348.30","9,199,955","11"
45937,"15:44:01","34,795","-205","34,872.21","348.30","9,199,944","16"
45937,"15:40:15","34,795","-205","34,872.21","348.30","9,199,928","1"
45937,"15:40:00","34,795","-205","34,872.21","348.30","9,199,927","30"
45937,"15:40:00","34,795","-205","34,872.21","348.30","9,199,897","1"
45937,"15:40:00","34,795","-205","34,872.21","348.30","9,199,896","10"
45937,"15:40:00","34,795","-205","34,872.21","348.30","9,199,886","15"
45937,"15:40:00","34,795","-205","34,872.21","348.30","9,199,871","1"
45937,"15:40:00","34,795","-205","34,872.21","348.30","9,199,870","45"
45937,"15:40:00","34,795","-205","34,872.21","348.30","9,199,825","1"
45937,"15:40:00","34,795","-205","34,872.21","348.30","9,199,824","5"
