시간,현재가,전일대비,체결량,거래량
15:59:59,3280,40,590,226569582
15:59:47,3280,40,500,226568992
15:59:40,3280,40,50,226568492
15:59:33,3280,40,100,226568442
15:59:30,3280,40,50,226568342
15:59:28,3280,40,30,226568292
15:59:06,3280,40,100,226568262
15:58:57,3280,40,3201,226568162
15:58:51,3280,40,20000,226564961
15:58:50,3280,40,6000,226544961
15:58:49,3280,40,50000,226538961
15:58:45,3280,40,8490,226488961
15:58:43,3280,40,2259,226480471
15:58:40,3280,40,117340,226478212
15:58:39,3280,40,12000,226360872
15:58:37,3280,40,1,226348872
15:58:34,3280,40,13822,226348871
15:58:23,3280,40,1,226335049
15:57:56,3280,40,3000,226335048
15:57:43,3280,40,5000,226332048
15:57:43,3280,40,621,226327048
15:57:38,3280,40,1000,226326427
15:57:37,3280,40,200,226325427
15:57:36,3280,40,5000,226325227
15:57:26,3280,40,1000,226320227
15:57:23,3280,40,50000,226319227
15:57:21,3280,40,150,226269227
15:57:15,3280,40,6000,226269077
15:57:05,3280,40,2149,226263077
15:57:03,3280,40,14000,226260928
15:57:02,3280,40,1000,226246928
15:57:02,3280,40,21,226245928
15:56:55,3280,40,86173,226245907
15:56:46,3280,40,3100,226159734
15:56:32,3280,40,300,226156634
15:56:27,3280,40,500,226156334
15:56:18,3280,40,52,226155834
15:56:08,3280,40,5,226155782
15:55:53,3280,40,2250,226155777
15:55:52,3280,40,1500,226153527
15:55:42,3280,40,500,226152027
15:55:18,3280,40,5000,226151527
15:54:44,3280,40,20,226146527
15:54:39,3280,40,46000,226146507
15:53:34,3280,40,2000,226100507
15:53:23,3280,40,50,226098507
15:53:18,3280,40,487,226098457
15:52:57,3280,40,5000,226097970
15:52:55,3280,40,6,226092970
15:52:48,3280,40,2662,226092964
15:52:46,3280,40,1,226090302
15:52:42,3280,40,1,226090301
15:52:38,3280,40,1,226090300
15:52:32,3280,40,11,226090299
15:52:17,3280,40,10273,226090288
15:51:40,3280,40,10,226080015
15:51:23,3280,40,70,226080005
15:51:19,3280,40,10,226079935
15:51:16,3280,40,200,226079925
15:51:07,3280,40,1,226079725
15:50:37,3280,40,100,226079724
15:50:20,3280,40,7000,226079624
15:50:18,3280,40,29,226072624
15:50:14,3280,40,50,226072595
15:50:04,3280,40,100,226072545
15:49:48,3280,40,50,226072445
15:49:44,3280,40,50,226072395
15:49:39,3280,40,30,226072345
15:49:29,3280,40,100,226072315
15:49:26,3280,40,20,226072215
15:49:22,3280,40,50,226072195
15:49:13,3280,40,400,226072145
15:49:02,3280,40,2493,226071745
15:48:56,3280,40,1,226069252
15:48:47,3280,40,1000,226069251
15:48:43,3280,40,2162,226068251
15:48:12,3280,40,100,226066089
15:48:07,3280,40,50,226065989
15:47:59,3280,40,1000,226065939
15:47:43,3280,40,2614,226064939
15:47:27,3280,40,100,226062325
15:47:21,3280,40,774,226062225
15:47:20,3280,40,546,226061451
15:47:19,3280,40,313,226060905
15:47:17,3280,40,200,226060592
15:47:04,3280,40,200,226060392
15:46:47,3280,40,5848,226060192
15:45:42,3280,40,1,226054344
15:45:02,3280,40,5,226054343
15:44:54,3280,40,5,226054338
15:44:34,3280,40,997,226054333
15:43:49,3280,40,1000,226053336
15:43:36,3280,40,100,226052336
15:43:10,3280,40,2233,226052236
15:42:56,3280,40,3,226050003
15:42:35,3280,40,5,226050000
15:42:32,3280,40,110,226049995
15:42:31,3280,40,10,226049885
15:42:20,3280,40,60,226049875
15:42:11,3280,40,1,226049815
15:42:09,3280,40,50,226049814
15:42:05,3280,40,9709,226049764
15:41:58,3280,40,257,226040055
15:41:48,3280,40,2000,226039798
15:41:46,3280,40,500,226037798
15:41:35,3280,40,5,226037298
15:41:31,3280,40,1000,226037293
15:41:17,3280,40,5200,226036293
15:41:14,3280,40,325,226031093
15:41:02,3280,40,3,226030768
15:40:48,3280,40,3,226030765
15:40:41,3280,40,315,226030762
15:40:39,3280,40,1,226030447
15:40:20,3280,40,752,226030446
15:40:17,3280,40,6455,226029694
15:40:14,3280,40,1000,226023239
15:40:13,3280,40,600,226022239
15:40:09,3280,40,1000,226021639
15:40:08,3280,40,1000,226020639
15:40:01,3280,40,400,226019639
15:40:00,3280,40,139773,226019239
15:30:22,3280,40,1735411,225879466
15:19:58,3275,35,2000,224144055
15:19:58,3275,35,10,224142055
15:19:58,3280,40,33,224142045
15:19:58,3280,40,27980,224142012
15:19:58,3280,40,1,224114032
15:19:58,3280,40,100,224114031
15:19:58,3275,35,100,224113931
15:19:58,3280,40,30,224113831
15:19:57,3275,35,100,224113801
15:19:56,3275,35,32397,224113701
15:19:56,3280,40,16406,224081304
15:19:55,3280,40,1,224064898
15:19:55,3275,35,7891,224064897
15:19:55,3275,35,10,224057006
15:19:55,3280,40,1674,224056996
15:19:54,3280,40,1,224055322
15:19:53,3280,40,100,224055321
15:19:53,3280,40,500,224055221
15:19:53,3275,35,300,224054721
15:19:53,3280,40,1,224054421
15:19:52,3275,35,4000,224054420
15:19:52,3280,40,10,224050420
15:19:51,3280,40,29,224050410
15:19:51,3280,40,500,224050381
15:19:51,3280,40,1,224049881
15:19:51,3275,35,2000,224049880
15:19:51,3280,40,1,224047880
15:19:50,3275,35,3272,224047879
15:19:50,3280,40,100,224044607
15:19:50,3280,40,1,224044507
15:19:49,3280,40,78,224044506
15:19:49,3280,40,1000,224044428
15:19:49,3280,40,11307,224043428
15:19:49,3280,40,45894,224032121
15:19:49,3275,35,1000,223986227
15:19:49,3280,40,1,223985227
15:19:48,3280,40,248,223985226
15:19:48,3275,35,100,223984978
15:19:48,3280,40,300,223984878
15:19:47,3280,40,1,223984578
15:19:47,3275,35,5000,223984577
15:19:47,3280,40,200,223979577
15:19:47,3275,35,12274,223979377
15:19:47,3280,40,1000,223967103
15:19:47,3280,40,2953,223966103
