시간,현재가,전일대비,체결량,거래량
15:59:45,18395,215,10,81122679
15:59:43,18395,215,25,81122669
15:59:42,18395,215,1197,81122644
15:59:40,18395,215,25,81121447
15:59:21,18395,215,500,81121422
15:59:17,18395,215,200,81120922
15:59:17,18395,215,163,81120722
15:59:15,18395,215,100,81120559
15:59:11,18395,215,10,81120459
15:59:09,18395,215,25,81120449
15:59:06,18395,215,50,81120424
15:59:03,18395,215,1000,81120374
15:58:55,18395,215,20,81119374
15:58:53,18395,215,543,81119354
15:58:13,18395,215,206,81118811
15:57:25,18395,215,5,81118605
15:57:06,18395,215,1,81118600
15:56:37,18395,215,50,81118599
15:56:35,18395,215,366,81118549
15:56:26,18395,215,20,81118183
15:56:22,18395,215,23,81118163
15:56:17,18395,215,100,81118140
15:55:47,18395,215,500,81118040
15:55:30,18395,215,50,81117540
15:54:45,18395,215,10,81117490
15:54:41,18395,215,2,81117480
15:54:22,18395,215,17,81117478
15:54:11,18395,215,1,81117461
15:53:51,18395,215,100,81117460
15:53:46,18395,215,1,81117360
15:53:24,18395,215,100,81117359
15:53:00,18395,215,140,81117259
15:52:40,18395,215,5,81117119
15:52:17,18395,215,50,81117114
15:50:58,18395,215,2,81117064
15:50:08,18395,215,1,81117062
15:49:12,18395,215,99,81117061
15:49:10,18395,215,3,81116962
15:49:03,18395,215,30,81116959
15:48:58,18395,215,1,81116929
15:48:42,18395,215,10,81116928
15:48:41,18395,215,500,81116918
15:48:40,18395,215,1,81116418
15:48:26,18395,215,50,81116417
15:48:24,18395,215,10,81116367
15:48:09,18395,215,1,81116357
15:48:02,18395,215,2260,81116356
15:47:18,18395,215,100,81114096
15:47:00,18395,215,5,81113996
15:46:50,18395,215,25,81113991
15:46:32,18395,215,11,81113966
15:46:24,18395,215,1,81113955
15:46:21,18395,215,27,81113954
15:46:07,18395,215,511,81113927
15:46:05,18395,215,13,81113416
15:46:05,18395,215,1,81113403
15:46:04,18395,215,229,81113402
15:45:59,18395,215,100,81113173
15:45:58,18395,215,5000,81113073
15:45:27,18395,215,543,81108073
15:45:26,18395,215,34,81107530
15:45:15,18395,215,5,81107496
15:45:06,18395,215,1,81107491
15:45:05,18395,215,1,81107490
15:45:05,18395,215,1,81107489
15:44:59,18395,215,1,81107488
15:44:45,18395,215,10,81107487
15:44:30,18395,215,7143,81107477
15:44:29,18395,215,30,81100334
15:44:27,18395,215,1000,81100304
15:44:24,18395,215,30,81099304
15:44:18,18395,215,30,81099274
15:44:14,18395,215,31,81099244
15:44:14,18395,215,30,81099213
15:44:08,18395,215,50,81099183
15:44:04,18395,215,10,81099133
15:44:03,18395,215,50,81099123
15:43:58,18395,215,500,81099073
15:43:56,18395,215,200,81098573
15:43:49,18395,215,200,81098373
15:43:41,18395,215,100,81098173
15:43:40,18395,215,300,81098073
15:43:40,18395,215,100,81097773
15:43:23,18395,215,20,81097673
15:43:20,18395,215,570,81097653
15:42:34,18395,215,100,81097083
15:42:29,18395,215,100,81096983
15:42:08,18395,215,2,81096883
15:42:06,18395,215,63,81096881
15:41:57,18395,215,2480,81096818
15:41:08,18395,215,10,81094338
15:40:51,18395,215,10,81094328
15:40:44,18395,215,10,81094318
15:40:38,18395,215,13505,81094308
15:40:19,18395,215,50,81080803
15:40:14,18395,215,20,81080753
15:40:00,18395,215,60898,81080733
15:30:17,18395,215,353055,81019835
15:19:59,18410,200,200,80666780
15:19:58,18410,200,1,80666580
15:19:58,18410,200,12,80666579
15:19:55,18405,205,13813,80666567
15:19:53,18410,200,17,80652754
15:19:53,18410,200,200,80652737
15:19:52,18410,200,1000,80652537
15:19:51,18405,205,3216,80651537
15:19:50,18405,205,4741,80648321
15:19:50,18410,200,10,80643580
15:19:50,18410,200,100,80643570
15:19:49,18405,205,700,80643470
15:19:48,18410,200,30,80642770
15:19:47,18410,200,135,80642740
