총곗수,시간,체결가,대비,추정NAV,기초지수,거래량(주),순간거래량(주)
30672,"15:59:36","4,865","40","4,861.73","1,717.39","45,089,686","59"
30672,"15:58:48","4,865","40","4,861.73","1,717.39","45,089,627","176"
30672,"15:58:36","4,865","40","4,861.73","1,717.39","45,089,451","1"
30672,"15:57:27","4,865","40","4,861.73","1,717.39","45,089,450","1,000"
30672,"15:56:24","4,865","40","4,861.73","1,717.39","45,088,450","3"
30672,"15:55:38","4,865","40","4,861.73","1,717.39","45,088,447","200"
30672,"15:55:06","4,865","40","4,861.73","1,717.39","45,088,247","30"
30672,"15:54:25","4,865","40","4,861.73","1,717.39","45,088,217","1,000"
30672,"15:53:23","4,865","40","4,861.73","1,717.39","45,087,217","5"
30672,"15:53:22","4,865","40","4,861.73","1,717.39","45,087,212","1,000"
30672,"15:53:17","4,865","40","4,861.73","1,717.39","45,086,212","20"
30672,"15:53:17","4,865","40","4,861.73","1,717.39","45,086,192","1"
30672,"15:52:24","4,865","40","4,861.73","1,717.39","45,086,191","154"
30672,"15:51:52","4,865","40","4,861.73","1,717.39","45,086,037","3"
30672,"15:51:45","4,865","40","4,861.73","1,717.39","45,086,034","160"
30672,"15:51:04","4,865","40","4,861.73","1,717.39","45,085,874","500"
30672,"15:50:59","4,865","40","4,861.73","1,717.39","45,085,374","100"
30672,"15:50:39","4,865","40","4,861.73","1,717.39","45,085,274","205"
30672,"15:50:24","4,865","40","4,861.73","1,717.39","45,085,069","200"
30672,"15:50:20","4,865","40","4,861.73","1,717.39","45,084,869","1"
30672,"15:50:20","4,865","40","4,861.73","1,717.39","45,084,868","8,650"
30672,"15:50:03","4,865","40","4,861.73","1,717.39","45,076,218","50"
30672,"15:49:39","4,865","40","4,861.73","1,717.39","45,076,168","20"
30672,"15:49:39","4,865","40","4,861.73","1,717.39","45,076,148","10"
30672,"15:49:39","4,865","40","4,861.73","1,717.39","45,076,138","16"
30672,"15:49:39","4,865","40","4,861.73","1,717.39","45,076,122","510"
30672,"15:49:39","4,865","40","4,861.73","1,717.39","45,075,612","10,000"
30672,"15:49:39","4,865","40","4,861.73","1,717.39","45,065,612","200"
30672,"15:49:39","4,865","40","4,861.73","1,717.39","45,065,412","1,035"
30672,"15:48:52","4,865","40","4,861.73","1,717.39","45,064,377","100"
30672,"15:47:49","4,865","40","4,861.73","1,717.39","45,064,277","19"
30672,"15:47:49","4,865","40","4,861.73","1,717.39","45,064,258","44"
30672,"15:47:49","4,865","40","4,861.73","1,717.39","45,064,214","39"
30672,"15:46:22","4,865","40","4,861.73","1,717.39","45,064,175","100"
30672,"15:46:03","4,865","40","4,861.73","1,717.39","45,064,075","100"
30672,"15:45:49","4,865","40","4,861.73","1,717.39","45,063,975","35"
30672,"15:44:56","4,865","40","4,860.40","1,717.89","45,063,940","5,000"
30672,"15:44:41","4,865","40","4,860.40","1,717.89","45,058,940","100"
30672,"15:44:25","4,865","40","4,860.40","1,717.89","45,058,840","100"
30672,"15:44:14","4,865","40","4,860.40","1,717.89","45,058,740","463"
30672,"15:44:08","4,865","40","4,860.40","1,717.89","45,058,277","1"
30672,"15:44:05","4,865","40","4,860.40","1,717.89","45,058,276","1"
30672,"15:43:56","4,865","40","4,860.40","1,717.89","45,058,275","50"
