"","20170930","20180929","20190928","20200926"
"현금",NA,11575,12204,17773
"현금 & 현금성 자산",NA,14338,36640,20243
"단기 투자자산",NA,40388,51713,52927
"현금 및 단기투자자산",NA,66301,100557,90943
"미수금-무역,매출",NA,23186,22926,16120
"총 미수금",NA,48995,45804,37445
"재고",NA,3956,4106,4061
"선급비용",NA,NA,NA,NA
"기타 유동자산",NA,12087,12352,11264
"유동자산",NA,131339,162819,143713
"총 유형자산",NA,90403,95957,112096
"총 감가상각누계액",NA,-49099,-58579,-66760
"총 유형자산 순액",NA,41304,37378,45336
"순 영업권",NA,NA,NA,NA
"순 무형자산",NA,NA,NA,NA
"장기투자자산",NA,170799,105341,100887
"비유동 미수금",NA,NA,NA,NA
"총 기타 비유동자산",NA,22283,32978,33952
"기타자산",NA,NA,NA,NA
"자산",NA,365725,338516,323888
"미지급금",NA,55888,46236,42296
"미지급분",NA,NA,NA,NA
"미지급비용",NA,NA,NA,1436
"미지급금/단기부채",NA,11964,5980,4996
"장기부채/자본화 리스 단기분",NA,8784,10260,8797
"총 기타 유동부채",NA,39293,43242,47867
"유동부채",NA,115929,105718,105392
"장기부채",NA,93735,91807,98667
"자본화리스 채무",NA,NA,NA,637
"총 장기부채",NA,93735,91807,99304
"부채",NA,114483,108047,113097
"이연소득세",31504,NA,NA,NA
"소액주주 지분...33",NA,NA,NA,NA
"기타 총 부채",NA,48914,50503,53853
"총 부채",NA,258578,248028,258549
"상환우선주",NA,NA,NA,NA
"우선주 - 상환불가능",NA,NA,NA,NA
"보통주",NA,40201,45174,50779
"자본잉여금",NA,NA,NA,NA
"이익잉여금(결손금)",NA,70400,45898,14966
"자기주식-보통주",NA,NA,NA,NA
"ESOP 부채 보증금",NA,NA,NA,NA
"미실현 이익(손실)",NA,-3209,707,1846
"기타자본",NA,-245,-1291,-2252
"총 자본",NA,107147,90488,65339
"총 부채 & 자기자본",NA,365725,338516,323888
"보통주발행",NA,4754.99,4443.24,16976.76
"매출",NA,265595,260174,274515
"기타수익",NA,NA,NA,NA
"총 수익",NA,265595,260174,274515
"매출원가",NA,163756,161782,169559
"매출총이익",NA,101839,98392,104956
"판매관리비",NA,16705,18245,19916
"연구개발비",NA,14236,16217,18752
"감가상각비",NA,NA,NA,NA
"이자비용(수익)",NA,NA,NA,NA
"특별비용(수익)",NA,NA,NA,NA
"기타 영업활동 비용",NA,NA,NA,NA
"총 영업비용",NA,194697,196244,208227
"영업이익",NA,70898,63930,66288
"영업외이자수익(비용)",NA,2446,1385,890
"고정자산처분이익(손실)",NA,NA,NA,NA
"기타",NA,-441,422,-87
"세전이익",NA,72903,65737,67091
"법인세비용",NA,11857,10481,9680
"세후이익",NA,61046,55256,57411
"소액주주 지분...67",NA,NA,NA,NA
"관계회사 지분",NA,NA,NA,NA
"경상이익",NA,61046,55256,57411
"특별손익",NA,-1515,NA,NA
"순이익...71",NA,59531,55256,57411
"순이익 조정",NA,NA,NA,NA
"특별손익 제외 순이익",NA,61046,55256,57411
"특별손익 포함 순이익",NA,59531,55256,57411
"희석항목 조정",NA,NA,NA,NA
"희석순이익",NA,59531,55256,57411
"희석 가중평균 주식",NA,5000.11,4648.91,17528.21
"특별손익 제외한 희석 EPS",NA,12.21,11.89,3.28
"표준 희석 EPS",NA,12.21,11.89,3.28
"순이익...80",NA,59531,55256,57411
"감가상각비/감모상각비",NA,10903,12547,11056
"상각",NA,NA,NA,NA
"이연세금",NA,-32590,-340,-215
"비현금항목",NA,4896,5416,6732
"현금영수증",NA,NA,NA,NA
"현금지급액",NA,NA,NA,NA
"현금지급 세금",NA,10417,15263,9501
"현금지급 이자",NA,3022,3423,3002
"운전자본 변화",NA,34694,-3488,5690
"영업활동 현금흐름",NA,77434,69391,80674
"자본적지출",NA,-13313,-10495,-7309
"기타 투자활동 현금흐름",NA,29379,56391,3020
"투자활동 현금흐름",NA,16066,45896,-4289
"재무활동 현금흐름 항목",NA,-2527,-2922,-3760
"총 배당금 현금지급",NA,-13712,-14119,-14081
"주식 발행(소멸)",NA,-72069,-66116,-71478
"부채의 발행(소멸)",NA,432,-7819,2499
"재무활동 현금흐름",NA,-87876,-90976,-86820
"환율변동효과",NA,NA,NA,NA
"현금 변화량",NA,5624,24311,-10435
"기초의 현금및현금성자산",NA,NA,NA,NA
"기말의 현금및현금성자산",NA,NA,NA,NA
