"reutersCode","symbolCode","stockName","stockNameEng","closePrice","accumulatedTradingValue","marketValue","dividend","stockExchangeType.name","industryCodeType.industryGroupKor"
"BABA.K","BABA","알리바바 그룹 홀딩스 ADR","Alibaba Group Holding Ltd ADR",263.43,7716667,712745850,0,"NYSE","소프트웨어 및 IT서비스"
"TSM","TSM","타이완 반도체 매뉴팩처링 ADR","Taiwan Semiconductor Manufacturing Co Ltd ADR",127.5,1229653,661225200,1.74,"NYSE","반도체 및 반도체 장비"
"V","V","비자 Class A","Visa Inc Class A",201.36,2715032,430361829,1.28,"NYSE","소프트웨어 및 IT서비스"
"JNJ","JNJ","존슨앤드존슨","Johnson & Johnson",160.5,1379145,422523099,4.04,"NYSE","제약"
"JPM","JPM","제이피모간체이스","JPMorgan Chase & Co",135.14,1428285,411934162,3.6,"NYSE","은행"
"WMT","WMT","월마트","Walmart Inc",141.2,701475,399495173,2.16,"NYSE","식품 및 약품소매"
"MA","MA","마스타카드","Mastercard Inc Class A",332.82,1341636,331796694,1.76,"NYSE","소프트웨어 및 IT서비스"
"UNH","UNH","유나이티드헬스 그룹","UnitedHealth Group Inc",337.89,855173,320597030,5,"NYSE","헬스케어 업체 및 서비스"
"DIS","DIS","월트 디즈니","Walt Disney Co",176.43,970095,320090564,0,"NYSE","미디어 및 출판"
"BRKb","BRK.B","버크셔 해서웨이 Class B","Berkshire Hathaway Inc Class B",232.68,882592,318993052,0,"NYSE","복합 기업"
"PG","PG","프록터 & 갬블","Procter & Gamble Co",128.95,939936,317536286,3.16,"NYSE","개인, 가정 용품 및 서비스"
"HD","HD","홈디포","Home Depot Inc",274.17,766457,295171636,6,"NYSE","전문품 상점"
"BAC","BAC","뱅크오브아메리카","Bank of America Corp",31.58,1548562,273192709,0.72,"NYSE","은행"
"BRKa","BRK.A","버크셔 해서웨이 Class A","Berkshire Hathaway Inc Class A",350701,54642,227669478,0,"NYSE","복합 기업"
"VZ","VZ","버라이존 커뮤니케이션스","Verizon Communications Inc",54.79,759229,226726190,2.51,"NYSE","통신 서비스"
"NKE","NKE","나이키 Class B","Nike Inc Class B",138.63,648440,218548810,1.1,"NYSE","섬유 및 의류"
"CRM","CRM","세일즈포스닷컴","Salesforce.Com Inc",234.82,1248759,215502414,0,"NYSE","소프트웨어 및 IT서비스"
"ABT","ABT","애보트 래버러토리","Abbott Laboratories",120.22,598459,213073309,1.8,"NYSE","헬스케어 장비 및 용품"
"KO","KO","코카콜라","Coca-Cola Co",48.77,599318,209585886,1.64,"NYSE","음료"
"TMO","TMO","써모 피셔 사이언티픽","Thermo Fisher Scientific Inc",500.22,858693,198254789,0.88,"NYSE","헬스케어 장비 및 용품"
"T","T","AT&T Inc","AT&T Inc",28.51,1150469,203162260,2.08,"NYSE","통신 서비스"
"NVS","NVS","노바티스 AG ADR","Novartis AG ADR",89.34,221508,201624482,3.38,"NYSE","제약"
"TM","TM","토요타자동차 ADR","Toyota Motor Corp ADR",148.07,68313,206998844,4.24,"NYSE","자동차 및 자동차 부품"
"MRK","MRK","머크","Merck & Co Inc",77.32,740397,195622263,2.6,"NYSE","제약"
"PFE","PFE","화이자","Pfizer Inc",34.84,1336164,193709108,1.56,"NYSE","제약"
"XOM","XOM","엑슨 모빌","Exxon Mobil Corp",47.42,1335420,200502862,3.48,"NYSE","오일 및 가스"
"LLY","LLY","일라이 릴리","Eli Lilly and Co",196.96,727086,188408312,3.4,"NYSE","제약"
"ORCL.K","ORCL","오라클","Oracle Corp",62.17,619212,183030594,0.96,"NYSE","소프트웨어 및 IT서비스"
"ABBV.K","ABBV","애브비","Abbvie Inc",106.95,1281151,188817436,5.2,"NYSE","제약"
"DHR","DHR","다나허","Danaher Corp",238.23,680021,169233224,0.72,"NYSE","헬스케어 장비 및 용품"
"CVX","CVX","셰브론","Chevron Corp",88.96,818059,171252020,5.16,"NYSE","오일 및 가스"
"ACN","ACN","액센추어 PLC Class A","Accenture PLC Class A",248.37,613413,164206132,3.52,"NYSE","소프트웨어 및 IT서비스"
"NEE","NEE","넥스트에라 에너지","Nextera Energy Inc",83.05,496670,162701106,1.4,"NYSE","전기 유틸리티"
"MCD","MCD","맥도날드","Mcdonald's Corp",208.71,625803,155512114,5.16,"NYSE","호텔 및 엔터테인먼트"
"SAP","SAP","SAP SE ADR","SAP SE ADR",130.61,109101,155902611,1.73,"NYSE","소프트웨어 및 IT서비스"
"UL","UL","유니레버 ADR","Unilever PLC ADR",59.3,80364,155832130,2.3,"NYSE","개인, 가정 용품 및 서비스"
