"reutersCode","symbolCode","stockName","stockNameEng","closePrice","accumulatedTradingValue","marketValue","dividend","stockExchangeType.name","industryCodeType.industryGroupKor","clean_name"
"V","V","비자 Class A","Visa Inc Class A",201.36,2715032,430361829,1.28,"NYSE","소프트웨어 및 IT서비스","isa Inc "
"JNJ","JNJ","존슨앤드존슨","Johnson & Johnson",160.5,1379145,422523099,4.04,"NYSE","제약","Johnson & Johnson"
"JPM","JPM","제이피모간체이스","JPMorgan Chase & Co",135.14,1428285,411934162,3.6,"NYSE","은행","JPMorgan Chase & Co"
"WMT","WMT","월마트","Walmart Inc",141.2,701475,399495173,2.16,"NYSE","식품 및 약품소매","Walmart Inc"
"MA","MA","마스타카드","Mastercard Inc Class A",332.82,1341636,331796694,1.76,"NYSE","소프트웨어 및 IT서비스","Mastercard Inc "
"UNH","UNH","유나이티드헬스 그룹","UnitedHealth Group Inc",337.89,855173,320597030,5,"NYSE","헬스케어 업체 및 서비스","edHealth Group Inc"
"DIS","DIS","월트 디즈니","Walt Disney Co",176.43,970095,320090564,0,"NYSE","미디어 및 출판","Walt Disney Co"
"BRKb","BRK.B","버크셔 해서웨이 Class B","Berkshire Hathaway Inc Class B",232.68,882592,318993052,0,"NYSE","복합 기업","Berkshire Hathaway Inc "
"PG","PG","프록터 & 갬블","Procter & Gamble Co",128.95,939936,317536286,3.16,"NYSE","개인, 가정 용품 및 서비스","Procter & Gamble Co"
"HD","HD","홈디포","Home Depot Inc",274.17,766457,295171636,6,"NYSE","전문품 상점","Home Depot Inc"
"BAC","BAC","뱅크오브아메리카","Bank of America Corp",31.58,1548562,273192709,0.72,"NYSE","은행","Bank of America Corp"
"VZ","VZ","버라이존 커뮤니케이션스","Verizon Communications Inc",54.79,759229,226726190,2.51,"NYSE","통신 서비스","erizon Communications Inc"
"NKE","NKE","나이키 Class B","Nike Inc Class B",138.63,648440,218548810,1.1,"NYSE","섬유 및 의류","Nike Inc "
"CRM","CRM","세일즈포스닷컴","Salesforce.Com Inc",234.82,1248759,215502414,0,"NYSE","소프트웨어 및 IT서비스","SalesforceCom Inc"
"ABT","ABT","애보트 래버러토리","Abbott Laboratories",120.22,598459,213073309,1.8,"NYSE","헬스케어 장비 및 용품","Abbott Laboratories"
"KO","KO","코카콜라","Coca-Cola Co",48.77,599318,209585886,1.64,"NYSE","음료","Coca-Cola Co"
"TMO","TMO","써모 피셔 사이언티픽","Thermo Fisher Scientific Inc",500.22,858693,198254789,0.88,"NYSE","헬스케어 장비 및 용품","Thermo Fisher Scientific Inc"
"T","T","AT&T Inc","AT&T Inc",28.51,1150469,203162260,2.08,"NYSE","통신 서비스","AT&T Inc"
"MRK","MRK","머크","Merck & Co Inc",77.32,740397,195622263,2.6,"NYSE","제약","Merck & Co Inc"
"PFE","PFE","화이자","Pfizer Inc",34.84,1336164,193709108,1.56,"NYSE","제약","Pfizer Inc"
"XOM","XOM","엑슨 모빌","Exxon Mobil Corp",47.42,1335420,200502862,3.48,"NYSE","오일 및 가스","Exxon Mobil Corp"
"LLY","LLY","일라이 릴리","Eli Lilly and Co",196.96,727086,188408312,3.4,"NYSE","제약","Eli Lilly and Co"
"ORCL.K","ORCL","오라클","Oracle Corp",62.17,619212,183030594,0.96,"NYSE","소프트웨어 및 IT서비스","Oracle Corp"
"ABBV.K","ABBV","애브비","Abbvie Inc",106.95,1281151,188817436,5.2,"NYSE","제약","Abbvie Inc"
"DHR","DHR","다나허","Danaher Corp",238.23,680021,169233224,0.72,"NYSE","헬스케어 장비 및 용품","Danaher Corp"
"CVX","CVX","셰브론","Chevron Corp",88.96,818059,171252020,5.16,"NYSE","오일 및 가스","Chevron Corp"
"ACN","ACN","액센추어 PLC Class A","Accenture PLC Class A",248.37,613413,164206132,3.52,"NYSE","소프트웨어 및 IT서비스","Accenture PLC "
"NEE","NEE","넥스트에라 에너지","Nextera Energy Inc",83.05,496670,162701106,1.4,"NYSE","전기 유틸리티","Nextera Energy Inc"
"MCD","MCD","맥도날드","Mcdonald's Corp",208.71,625803,155512114,5.16,"NYSE","호텔 및 엔터테인먼트","Mcdonald's Corp"
"MDT","MDT","메드트로닉","Medtronic PLC",112.63,518393,151602227,2.32,"NYSE","헬스케어 장비 및 용품","Medtronic PLC"
"SHOP.K","SHOP","쇼피파이 Class A","Shopify Inc Class A",1224.16,1415315,149240038,0,"NYSE","소프트웨어 및 IT서비스","Shopify Inc "
"BMY","BMY","브리스톨-마이어스 스큅","Bristol-Myers Squibb Co",62.03,940615,140172387,1.96,"NYSE","제약","Bristol-Myers Squibb Co"
"HON","HON","허니웰 인터내셔널","Honeywell International Inc",199.14,380251,139733704,3.72,"NYSE","복합 기업","Honeywell International Inc"
"UNP","UNP","유니온 퍼시픽","Union Pacific Corp",204.36,353407,137711841,3.88,"NYSE","화물 및 물류 서비스","Union Pacific Corp"
"UPS","UPS","United Parcel Service Inc Class B","United Parcel Service Inc Class B",159.71,726173,138053002,4.04,"NYSE","화물 및 물류 서비스","ed Parcel Service Inc "
"LIN","LIN","린드","Linde PLC",250.13,594119,130903108,4.24,"NYSE","화학","Linde PLC"
