"","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"1",6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,6
"2",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
"3",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
"4",7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5
"5",12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7
"6",5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,6
"7",10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5
"8",7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,6
"9",7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
"10",9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,6
"11",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
"12",8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5
"13",6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,5
"14",6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6
"15",7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
"16",10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7
"17",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
"18",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
"19",12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7
"20",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
"21",7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6
"22",7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3
"23",9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7
"24",7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,6
"25",7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,6
"26",9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5
"27",6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6
"28",8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
"29",7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4
"30",5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
"31",9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
"32",8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5
"33",6.1,0.6,0.08,1.8,0.071,14,45,0.99336,3.38,0.54,11,5
"34",7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7
"35",6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6
"36",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5
"37",5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6
"38",7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6
"39",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
"40",8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5
"41",7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7
"42",7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
"43",7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7
"44",7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6
"45",8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5
"46",6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5
"47",7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,5
"48",11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5
"49",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
"50",6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6
"51",8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6
"52",8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6
"53",10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6
"54",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
"55",7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5
"56",6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5
"57",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6
"58",7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,6
"59",12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,6
"60",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
"61",10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6
"62",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
"63",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
"64",7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5
"65",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6
"66",9.2,0.56,0.18,1.6,0.078,10,21,0.99576,3.15,0.49,9.9,5
"67",7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6
"68",8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5
"69",7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,7
"70",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
"71",8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
"72",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7
"73",11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7
"74",9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
"75",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
"76",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
"77",11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7
